trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
78,6,1,0.1,10.0,2.0,2.0,0.7,0.5,0.810328238899978,0.7527888665569623,0.9239207037290541,0.6967357740709019,0.5000120689121279,0.9659055628587379,71.6
90,4,5,0.08,6.0,0.0,1.0,0.8,0.5,0.8102226453359318,0.7434554076708623,0.9420209394884275,0.678424351183436,0.4900780438112767,0.9730422398410703,131.6
84,7,5,0.15,0.5,0.5,0.0,0.6,0.5,0.8101993380707789,0.7565412991418159,0.916122899079778,0.7042757770617798,0.5044929231082287,0.9629841235078862,29.0
177,5,8,0.08,1.5,0.05,2.0,1.0,0.7,0.8101735286473181,0.7502516200937941,0.9284575928883481,0.6918894644062881,0.4970822028387138,0.9675312194763894,95.6
10,8,20,0.15,3.0,0.0,4.0,1.0,1.0,0.8100827170883601,0.7515714678250454,0.9255820045461844,0.694583429630536,0.49831714516860226,0.9663150241903871,22.0
58,5,8,0.15,0.5,1.0,4.0,0.9,1.0,0.810057250054953,0.7525848433111764,0.9235134061736845,0.6966010939362217,0.5000392682771388,0.9659268333721445,80.6
129,7,20,0.03,3.0,0.05,2.0,0.7,0.8,0.8100217992125243,0.7467018214413252,0.9350233646834148,0.6850202337416335,0.49441695008673703,0.9706680680738522,135.8
154,7,20,0.05,10.0,0.05,1.0,0.7,1.0,0.8099571185820732,0.7547150209477588,0.9190010224689666,0.7009132146951798,0.5022428208602336,0.9639130630535906,119.0
136,7,12,0.02,0.5,0.0,0.0,0.6,0.6,0.8098528637883646,0.7331106315407073,0.9613439129295849,0.6583618146471444,0.47975687701142294,0.9812486956255807,53.6
182,5,2,0.02,1.5,0.2,0.1,1.0,0.8,0.8097962500644371,0.7288481151133628,0.9695811257298823,0.6500113743989921,0.47591570616237455,0.9850131940207169,48.8
81,6,12,0.08,1.5,1.0,1.0,0.8,0.6,0.8095694007936156,0.753295039739509,0.9206496480509714,0.6984891535362598,0.5003393807200851,0.9645043115945942,85.6
145,4,8,0.15,1.0,0.0,0.0,0.9,0.7,0.8095198613076693,0.7559340148172847,0.9152973187652631,0.7037424038500755,0.503311532715256,0.9626381310901854,94.4
71,7,20,0.02,1.5,0.0,4.0,0.6,0.5,0.8094665334778043,0.7354438547580896,0.9555893561825572,0.6633437107730513,0.4824588604707567,0.9788040198134764,185.4
23,6,8,0.02,1.5,2.0,0.5,0.6,1.0,0.8093508429534874,0.745686953729689,0.9350284347774652,0.6836732511295095,0.49298037616011525,0.9707592259025022,211.4
33,5,20,0.08,1.0,0.0,1.0,0.9,0.5,0.8091675021057387,0.7487279549409644,0.9284651980294234,0.6898698061820538,0.497068939569711,0.9680474866062523,125.0
108,5,20,0.02,1.5,2.0,1.0,0.9,0.5,0.8091553013635089,0.7299674386103573,0.9654650543767588,0.652845548350259,0.47751749235535046,0.9833739634562259,213.8
105,8,20,0.03,1.5,0.0,2.0,1.0,0.8,0.8091030874592992,0.7484262166526191,0.9288767206631684,0.6893294542554299,0.49550442800150724,0.968012388099212,78.2
70,5,5,0.03,0.5,2.0,2.0,0.9,0.5,0.8090835805624529,0.7377696683039983,0.94984662965498,0.6683205314699258,0.48630635306708836,0.977003928589478,197.8
163,5,12,0.15,1.5,0.5,1.0,1.0,1.0,0.8087613947683364,0.7635401969531842,0.8980268883987799,0.7194959011378931,0.5122914088372098,0.9560126578934843,81.4
146,6,5,0.08,3.0,1.0,2.0,0.7,0.5,0.8087351409284584,0.7451789281292741,0.9342036994786254,0.6832665823782916,0.4936698226870363,0.970414980409225,66.0
147,6,20,0.03,0.5,2.0,0.5,1.0,0.5,0.8087231337344172,0.7380801541211667,0.9481827937908248,0.6692634736780094,0.48620571824651815,0.9761622027952759,143.0
36,5,1,0.08,10.0,0.5,4.0,0.8,0.5,0.8086124716995613,0.7366608932976433,0.9506510845776189,0.6665738588215034,0.4839590341651543,0.9768670668521382,84.6
93,4,2,0.15,1.0,0.2,2.0,1.0,0.5,0.8082916757613379,0.7357468279916806,0.9514868050802343,0.6650965464424414,0.482125519090611,0.9767185597184275,59.4
152,5,2,0.05,0.5,0.2,0.5,0.9,0.7,0.8082301883037871,0.7433521868307498,0.9362858181019258,0.6801745585056487,0.49047264808835395,0.9710649011497072,119.2
110,5,8,0.1,1.0,0.5,0.1,1.0,1.0,0.8082245704125327,0.7583655705498491,0.906653653425271,0.7097954873997943,0.5080909644774765,0.9601941671538172,128.8
46,5,2,0.03,1.0,0.0,0.0,0.6,0.7,0.8080100189268519,0.7242827798205831,0.9732797593395357,0.6427402785141683,0.47172148594098057,0.9867372637533244,66.8
37,5,1,0.1,1.0,2.0,0.1,0.7,0.7,0.8080021865941157,0.7553242606022622,0.911996687538554,0.7040076856496776,0.5053113357904019,0.9625868588941395,95.4
109,5,3,0.05,6.0,0.05,2.0,0.7,0.7,0.8078962961010939,0.7388904840264978,0.9440979880176776,0.67169460418451,0.4854612783745861,0.9738538243820907,87.2
30,5,12,0.1,1.5,0.5,1.0,0.8,0.8,0.8078522362000925,0.743863145426123,0.9341876441807997,0.6815168282193854,0.49188765128124984,0.9708775286713373,68.8
34,4,1,0.15,3.0,1.0,2.0,0.8,0.5,0.807762771093433,0.7493405906948934,0.9230968134458895,0.6924287287409765,0.49722241486879193,0.9657756758394779,92.6
151,5,20,0.08,0.5,0.05,0.5,0.7,0.6,0.8076717514701723,0.7279339983513481,0.9650611368840891,0.6502823660562557,0.4756217286027139,0.9830800056977601,48.2
62,5,2,0.02,6.0,1.0,1.0,0.7,0.5,0.807623751260975,0.7266182156481971,0.9675209775141329,0.647726525007817,0.4742986119859115,0.9841511278534583,195.4
31,5,2,0.05,1.5,0.5,1.0,0.6,0.5,0.8075931211228605,0.739298427605966,0.9424206319027219,0.6727656103429993,0.4865385409006386,0.9734277521718091,119.0
189,4,20,0.15,3.0,0.2,0.1,0.8,0.6,0.8072824333835232,0.7458872206836862,0.9284651980294235,0.686099668737623,0.4937573794370632,0.9678835575215601,85.4
27,6,12,0.1,0.5,0.0,0.5,0.7,1.0,0.8069263506845884,0.7543097530829893,0.9107832450291953,0.7030694563399813,0.5018412737281643,0.9606672294320925,66.2
159,4,12,0.15,1.5,0.5,0.0,1.0,0.7,0.806924299311591,0.7353355912248908,0.9482165944178265,0.6656320042053554,0.483768687009052,0.9763370981084792,63.6
15,4,1,0.15,6.0,0.2,1.0,0.8,0.7,0.8068340727189472,0.7477151454714043,0.9235286164558353,0.6901395289820592,0.4952354962139457,0.9658553694370156,83.0
87,5,5,0.02,1.0,0.0,0.0,0.6,1.0,0.8064087489000334,0.7291498019456562,0.9589001275973669,0.6539173702027,0.47673452480835393,0.9804106606673502,135.6
165,5,5,0.1,3.0,0.05,0.1,0.6,1.0,0.8063569468440361,0.7588767349694299,0.9000819665204791,0.7126319271675934,0.5067597962651182,0.956574476021378,102.0
112,8,2,0.1,1.5,0.0,0.1,0.6,0.5,0.8061876893048228,0.7759182075181409,0.865946713311532,0.7464286652981135,0.5288135012734989,0.9448274174493859,72.2
178,5,5,0.02,1.5,0.2,4.0,0.7,1.0,0.8061786534580202,0.7263101482654679,0.9638274139985297,0.6485298929175107,0.4739003987755296,0.9823300727166162,125.8
106,4,1,0.03,0.5,0.5,1.0,1.0,0.6,0.8058345027360824,0.7185013836532356,0.978218030944474,0.6334509745276906,0.4668609498540074,0.9892311250124397,123.8
55,4,8,0.15,0.5,0.5,2.0,0.6,0.6,0.8057418215036923,0.7352404489849265,0.9449024429403166,0.6665812000670682,0.48416318877610054,0.975344836914544,73.8
60,4,8,0.08,0.5,2.0,4.0,1.0,0.6,0.8057360995079128,0.7237762979017252,0.9675209775141328,0.6439512215016926,0.47100751411130953,0.9838199364834036,64.8
28,6,2,0.15,3.0,0.2,0.5,0.6,1.0,0.8056691084683368,0.7740924438846026,0.8680060165116064,0.7433322004250671,0.5264865459020991,0.9451883109937249,69.6
7,4,5,0.08,3.0,0.5,2.0,0.8,0.5,0.8054761662139857,0.7344258482272876,0.9457271782391563,0.6652251541888151,0.48169963005750793,0.9747093591977531,111.8
67,4,2,0.15,1.0,0.2,0.0,0.9,0.6,0.8054620173037808,0.7350391014538393,0.9444833151654963,0.6664407194420654,0.4814573057086543,0.9735822920860209,55.2
14,5,8,0.03,1.0,0.0,1.0,0.6,0.8,0.8051210639007274,0.7232696616147114,0.966692862152593,0.643549265648862,0.4705832245866854,0.9834993927730477,82.8
61,4,12,0.1,3.0,0.05,1.0,0.7,0.6,0.8049027385562247,0.727736201287842,0.9572303766234864,0.6525751004889633,0.47560604765077186,0.9799596682483986,73.8
121,4,3,0.05,6.0,2.0,2.0,0.6,0.5,0.8048844224563364,0.7404133773385488,0.9321528464353014,0.6776159984773712,0.4866312170100275,0.9685472293428015,235.6
82,4,3,0.15,1.5,1.0,2.0,0.7,0.8,0.8048142518914887,0.737165574254685,0.9383366711452498,0.6712918326377275,0.4843444311158286,0.9714367056860997,57.6
194,5,20,0.15,3.0,1.0,4.0,0.6,1.0,0.8047977893256775,0.7492370611184694,0.9144734284820984,0.6951221501692565,0.49628857249265657,0.9618256218189192,60.6
193,4,2,0.15,1.5,1.0,2.0,0.7,0.7,0.804474693813719,0.7514687100893997,0.9091143390709897,0.6998350485564482,0.4985485544291087,0.9599268823307858,86.2
144,5,12,0.03,10.0,2.0,0.1,0.8,0.8,0.8043878652221359,0.7215483023104797,0.967918979897077,0.6408567505471947,0.4693896171971826,0.9842119037655728,83.8
5,3,3,0.1,1.5,1.0,0.0,0.7,0.8,0.8042759723779564,0.7324020302499837,0.9461403909042513,0.6624115538516615,0.4797001217435846,0.9747487937987647,138.4
153,5,12,0.02,3.0,2.0,2.0,0.6,0.5,0.8039679276673365,0.7221554322668553,0.9654616743140585,0.6424741810206144,0.4699048349568583,0.9829935297376343,212.8
18,5,20,0.02,3.0,1.0,1.0,1.0,1.0,0.8039216444332166,0.7324993336441279,0.9449049779873416,0.6629383108790915,0.4790593240176051,0.9737003979757765,203.4
